"","StartDate","EndDate","Status","Duration..in.seconds.","RecordedDate","DistributionChannel","Score","FL_4_DO","OrderAB_DO","Order_Group1","Order_Group2","Order","Q1","Q2","Q3","Q4","Q5","Q6","Q1num","Q2num","Q3num","Q4num","Q5num","Q6num","z12","z34","z35","z36","z46","z56","logduration","efficiency"
"102","4/11/2024 9:07","4/11/2024 9:13","IP Address",352,"4/11/2024 9:13","anonymous",3,"OrderFDCE","Question A |Question B ","AB","FDCE","ABFDCE","A","B","F","D","C","E",1,2,6,4,3,5,1,-1,1,-1,-1,-1,5.8636311755981,0.511628359656164
"103","4/11/2024 10:17","4/11/2024 10:22","IP Address",266,"4/11/2024 10:22","anonymous",6,"OrderCDEF","Question A |Question B ","AB","CDEF","ABCDEF","A","B","C","D","E","F",1,2,3,4,5,6,1,1,1,1,1,1,5.5834963087817,1.0745954986239
"104","4/11/2024 10:25","4/11/2024 10:27","IP Address",75,"4/11/2024 10:27","anonymous",NA,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,4.31748811353631,NA
"105","4/11/2024 10:27","4/11/2024 10:29","IP Address",165,"4/11/2024 10:29","anonymous",5,"OrderCDEF","Question A |Question B ","AB","CDEF","ABCDEF","A","B","C","D","E","F",1,2,3,4,5,6,1,1,1,1,1,1,5.10594547390058,0.979250566923966
"106","4/11/2024 10:26","4/11/2024 10:41","IP Address",896,"4/11/2024 10:41","anonymous",3,"OrderDCEF","Question A |Question B ","AB","DCEF","ABDCEF","A","B","D","C","E","F",1,2,4,3,5,6,1,-1,1,1,1,1,6.79794041297493,0.441310134798186
"107","4/11/2024 13:07","4/11/2024 13:15","IP Address",484,"4/11/2024 13:15","anonymous",1,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,6.18208490671663,0.161757726574336
"108","4/12/2024 8:11","4/12/2024 8:19","IP Address",484,"4/12/2024 8:19","anonymous",4,"OrderFDEC","Question A |Question B ","AB","FDEC","ABFDEC","A","B","F","D","E","C",1,2,6,4,5,3,1,-1,-1,-1,-1,-1,6.18208490671663,0.647030906297345
"109","4/12/2024 8:17","4/12/2024 8:22","IP Address",328,"4/12/2024 8:22","anonymous",2,"OrderDEFC","Question B |Question A ","BA","DEFC","BADEFC","B","A","D","E","F","C",2,1,4,5,6,3,-1,-1,-1,-1,1,1,5.79301360838414,0.345243449299934
"110","4/12/2024 8:11","4/12/2024 8:23","IP Address",736,"4/12/2024 8:23","anonymous",1,"OrderDFCE","Question B |Question A ","BA","DFCE","BADFCE","B","A","D","F","C","E",2,1,4,6,3,5,-1,-1,1,-1,1,-1,6.60123011872888,0.15148691713728
"111","4/12/2024 8:10","4/12/2024 8:25","IP Address",925,"4/12/2024 8:25","anonymous",3,"OrderFCDE","Question B |Question A ","BA","FCDE","BAFCDE","B","A","F","C","D","E",2,1,6,3,4,5,-1,1,1,-1,-1,-1,6.82979373751242,0.439251918183502
"112","4/12/2024 8:23","4/12/2024 8:32","IP Address",569,"4/12/2024 8:32","anonymous",5,"OrderFDEC","Question A |Question B ","AB","FDEC","ABFDEC","A","B","F","D","E","C",1,2,6,4,5,3,1,-1,-1,-1,-1,-1,6.34388043412633,0.788161134485283
"113","4/12/2024 8:26","4/12/2024 8:32","IP Address",410,"4/12/2024 8:32","anonymous",1,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,6.01615715969835,0.166219062011694
"114","4/12/2024 8:23","4/12/2024 8:36","IP Address",768,"4/12/2024 8:36","anonymous",5,"OrderFCDE","Question B |Question A ","BA","FCDE","BAFCDE","B","A","F","C","D","E",2,1,6,3,4,5,-1,1,1,-1,-1,-1,6.64378973314767,0.752582517031453
"115","4/12/2024 8:13","4/12/2024 8:37","IP Address",1440,"4/12/2024 8:37","anonymous",3,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,7.27239839257005,0.412518654514994
"116","4/12/2024 8:10","4/12/2024 8:41","IP Address",1852,"4/12/2024 8:41","anonymous",3,"OrderDFCE","Question A |Question B ","AB","DFCE","ABDFCE","A","B","D","F","C","E",1,2,4,6,3,5,1,-1,1,-1,1,-1,7.52402141520612,0.398722948068299
"117","4/12/2024 8:38","4/12/2024 8:50","IP Address",753,"4/12/2024 8:50","anonymous",4,"OrderDFEC","Question B |Question A ","BA","DFEC","BADFEC","B","A","D","F","E","C",2,1,4,6,5,3,-1,-1,-1,-1,1,-1,6.62406522779989,0.603858787986083
"118","4/12/2024 8:25","4/12/2024 8:51","IP Address",1576,"4/12/2024 8:51","anonymous",3,"OrderDECF","Question A |Question B ","AB","DECF","ABDECF","A","B","D","E","C","F",1,2,4,5,3,6,1,-1,-1,1,1,1,7.36264527041782,0.407462248935667
"119","4/12/2024 8:42","4/12/2024 8:52","IP Address",633,"4/12/2024 8:52","anonymous",5,"OrderFDCE","Question B |Question A ","BA","FDCE","BAFDCE","B","A","F","D","C","E",2,1,6,4,3,5,-1,-1,1,-1,-1,-1,6.45047042214418,0.775137264847417
"120","4/12/2024 8:53","4/12/2024 8:56","IP Address",175,"4/12/2024 8:56","anonymous",5,"OrderDCEF","Question A |Question B ","AB","DCEF","ABDCEF","A","B","D","C","E","F",1,2,4,3,5,6,1,-1,1,1,1,1,5.16478597392351,0.968094326704823
"121","4/12/2024 8:50","4/12/2024 9:03","IP Address",753,"4/12/2024 9:03","anonymous",3,"OrderCDEF","Question A |Question B ","AB","CDEF","ABCDEF","A","B","C","D","E","F",1,2,3,4,5,6,1,1,1,1,1,1,6.62406522779989,0.452894090989562
"122","4/12/2024 8:57","4/12/2024 9:06","IP Address",550,"4/12/2024 9:06","anonymous",2,"OrderDFCE","Question A |Question B ","AB","DFCE","ABDFCE","A","B","D","F","C","E",1,2,4,6,3,5,1,-1,1,-1,1,-1,6.30991827822652,0.316961315790943
"123","4/12/2024 9:05","4/12/2024 9:08","IP Address",179,"4/12/2024 9:08","anonymous",3,"OrderDECF","Question B |Question A ","BA","DECF","BADECF","B","A","D","E","C","F",2,1,4,5,3,6,-1,-1,-1,1,1,1,5.18738580584075,0.57832598389388
"124","4/12/2024 9:00","4/12/2024 9:08","IP Address",514,"4/12/2024 9:08","anonymous",4,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,6.24222326545517,0.640797329716839
"125","4/12/2024 9:12","4/12/2024 9:22","IP Address",621,"4/12/2024 9:23","anonymous",5,"OrderCFDE","Question A |Question B ","AB","CFDE","ABCFDE","A","B","C","F","D","E",1,2,3,6,4,5,1,1,1,1,-1,-1,6.43133108193348,0.777444037058784
"126","4/12/2024 9:28","4/12/2024 9:39","IP Address",628,"4/12/2024 9:39","anonymous",6,"OrderFCDE","Question A |Question B ","AB","FCDE","ABFCDE","A","B","F","C","D","E",1,2,6,3,4,5,1,1,1,-1,-1,-1,6.4425401664682,0.931309676768255
"127","4/12/2024 9:33","4/12/2024 9:41","IP Address",484,"4/12/2024 9:41","anonymous",4,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,6.18208490671663,0.647030906297345
"128","4/12/2024 9:33","4/12/2024 9:54","IP Address",1249,"4/12/2024 9:54","anonymous",4,"OrderDECF","Question A |Question B ","AB","DECF","ABDECF","A","B","D","E","C","F",1,2,4,5,3,6,1,-1,-1,1,1,1,7.13009851012558,0.561002066706306
"129","4/12/2024 9:57","4/12/2024 10:01","IP Address",272,"4/12/2024 10:01","anonymous",0,"OrderDFCE","Question B |Question A ","BA","DFCE","BADFCE","B","A","D","F","C","E",2,1,4,6,3,5,-1,-1,1,-1,1,-1,5.605802066296,0
"130","4/12/2024 10:06","4/12/2024 10:11","IP Address",301,"4/12/2024 10:11","anonymous",5,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,5.70711026474888,0.876100122137733
"131","4/12/2024 10:01","4/12/2024 10:15","IP Address",887,"4/12/2024 10:15","anonymous",5,"OrderCFDE","Question A |Question B ","AB","CFDE","ABCFDE","A","B","C","F","D","E",1,2,3,6,4,5,1,1,1,1,-1,-1,6.78784498230958,0.736610811388733
"132","4/12/2024 10:21","4/12/2024 10:25","IP Address",265,"4/12/2024 10:25","anonymous",2,"OrderDCEF","Question B |Question A ","BA","DCEF","BADCEF","B","A","D","C","E","F",2,1,4,3,5,6,-1,-1,1,1,1,1,5.57972982598622,0.358440294131356
"133","4/12/2024 9:09","4/12/2024 10:30","IP Address",4833,"4/12/2024 10:30","anonymous",4,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,8.48322267184508,0.471518920902026
"134","4/12/2024 10:26","4/12/2024 10:37","IP Address",633,"4/12/2024 10:37","anonymous",3,"OrderFDCE","Question B |Question A ","BA","FDCE","BAFDCE","B","A","F","D","C","E",2,1,6,4,3,5,-1,-1,1,-1,-1,-1,6.45047042214418,0.46508235890845
"135","4/12/2024 10:37","4/12/2024 10:38","IP Address",60,"4/12/2024 10:38","anonymous",4,"OrderFDEC","Question B |Question A ","BA","FDEC","BAFDEC","B","A","F","D","E","C",2,1,6,4,5,3,-1,-1,-1,-1,-1,-1,4.0943445622221,0.976957346703889
"136","4/12/2024 9:55","4/12/2024 10:53","IP Address",3468,"4/12/2024 10:53","anonymous",3,"OrderDFEC","Question A |Question B ","AB","DFEC","ABDFEC","A","B","D","F","E","C",1,2,4,6,5,3,1,-1,-1,-1,1,-1,8.15133333790043,0.368037948595625
"137","4/12/2024 10:57","4/12/2024 11:03","IP Address",360,"4/12/2024 11:03","anonymous",1,"OrderDECF","Question A |Question B ","AB","DECF","ABDECF","A","B","D","E","C","F",1,2,4,5,3,6,1,-1,-1,1,1,1,5.88610403145016,0.169891662576278
"138","4/12/2024 11:09","4/12/2024 11:21","IP Address",756,"4/12/2024 11:21","anonymous",3,"OrderFCDE","Question B |Question A ","BA","FCDE","BAFCDE","B","A","F","C","D","E",2,1,6,3,4,5,-1,1,1,-1,-1,-1,6.62804137617953,0.452622400756531
"139","4/12/2024 11:27","4/12/2024 11:47","IP Address",1175,"4/12/2024 11:47","anonymous",3,"OrderDEFC","Question B |Question A ","BA","DEFC","BADEFC","B","A","D","E","F","C",2,1,4,5,6,3,-1,-1,-1,-1,1,1,7.06902342657826,0.424386767303746
"140","4/12/2024 9:47","4/12/2024 11:53","IP Address",7541,"4/12/2024 11:53","anonymous",4,"OrderCFDE","Question B |Question A ","BA","CFDE","BACFDE","B","A","C","F","D","E",2,1,3,6,4,5,-1,1,1,1,-1,-1,8.92811007820265,0.448023149912289
"141","4/12/2024 12:01","4/12/2024 12:05","IP Address",257,"4/12/2024 12:05","anonymous",3,"OrderDCFE","Question B |Question A ","BA","DCFE","BADCFE","B","A","D","C","F","E",2,1,4,3,6,5,-1,-1,1,1,1,-1,5.54907608489522,0.540630539949904
"142","4/12/2024 13:54","4/12/2024 13:59","IP Address",319,"4/12/2024 13:59","anonymous",2,"OrderFDCE","Question A |Question B ","AB","FDCE","ABFDCE","A","B","F","D","C","E",1,2,6,4,3,5,1,-1,1,-1,-1,-1,5.76519110278484,0.346909575822024
"143","4/12/2024 18:39","4/12/2024 19:00","IP Address",1286,"4/12/2024 19:00","anonymous",2,"OrderCDEF","Question B |Question A ","BA","CDEF","BACDEF","B","A","C","D","E","F",2,1,3,4,5,6,-1,1,1,1,1,1,7.15929190479756,0.279357236245636
"144","4/12/2024 9:24","4/12/2024 20:15","IP Address",39071,"4/12/2024 20:15","anonymous",2,"OrderDFEC","Question A |Question B ","AB","DFEC","ABDFEC","A","B","D","F","E","C",1,2,4,6,5,3,1,-1,-1,-1,1,-1,10.5731357828073,0.189158641398718
"145","4/12/2024 20:37","4/12/2024 20:57","IP Address",1187,"4/12/2024 20:57","anonymous",3,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,7.07918439460967,0.423777632107493
"146","4/13/2024 5:25","4/13/2024 5:31","IP Address",376,"4/13/2024 5:31","anonymous",4,"OrderDCEF","Question B |Question A ","BA","DCEF","BADCEF","B","A","D","C","E","F",2,1,4,3,5,6,-1,-1,1,1,1,1,5.92958914338989,0.674582994415231
"147","4/13/2024 5:25","4/13/2024 6:34","IP Address",4110,"4/13/2024 6:34","anonymous",3,"OrderFDCE","Question A |Question B ","AB","FDCE","ABFDCE","A","B","F","D","C","E",1,2,6,4,3,5,1,-1,1,-1,-1,-1,8.32117830749028,0.36052586414349
"148","4/13/2024 13:06","4/13/2024 13:07","IP Address",73,"4/13/2024 13:07","anonymous",0,"OrderDECF","Question A |Question B ","AB","DECF","ABDECF","A","B","D","E","C","F",1,2,4,5,3,6,1,-1,-1,1,1,1,4.29045944114839,0
"149","4/13/2024 14:36","4/13/2024 14:47","IP Address",697,"4/13/2024 14:47","anonymous",2,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,6.54678541076052,0.305493440599524
"150","4/12/2024 8:10","4/13/2024 16:21","IP Address",115859,"4/13/2024 16:21","anonymous",3,"OrderCDEF","Question B |Question A ","BA","CDEF","BACDEF","B","A","C","D","E","F",2,1,3,4,5,6,-1,1,1,1,1,1,11.6601292135069,0.257287028734198
"151","4/13/2024 19:45","4/13/2024 19:51","IP Address",396,"4/13/2024 19:51","anonymous",4,"OrderDCFE","Question B |Question A ","BA","DCFE","BADCFE","B","A","D","C","F","E",2,1,4,3,6,5,-1,-1,1,1,1,-1,5.98141421125448,0.668738171062238
"152","4/15/2024 7:40","4/15/2024 7:46","IP Address",400,"4/15/2024 7:46","anonymous",4,"OrderFCDE","Question A |Question B ","AB","FCDE","ABFCDE","A","B","F","C","D","E",1,2,6,3,4,5,1,1,1,-1,-1,-1,5.99146454710798,0.667616401390668
"153","4/15/2024 7:55","4/15/2024 8:07","IP Address",729,"4/15/2024 8:07","anonymous",4,"OrderCFDE","Question B |Question A ","BA","CFDE","BACFDE","B","A","C","F","D","E",2,1,3,6,4,5,-1,1,1,1,-1,-1,6.59167373200866,0.606826151084558
"154","4/15/2024 11:29","4/15/2024 11:34","IP Address",331,"4/15/2024 11:34","anonymous",3,"OrderDFCE","Question A |Question B ","AB","DFCE","ABDFCE","A","B","D","F","C","E",1,2,4,6,3,5,1,-1,1,-1,1,-1,5.80211837537706,0.51705253252525
"155","4/16/2024 14:24","4/16/2024 14:28","IP Address",257,"4/16/2024 14:28","qr",2,"OrderCDEF","Question B |Question A ","BA","CDEF","BACDEF","B","A","C","D","E","F",2,1,3,4,5,6,-1,1,1,1,1,1,5.54907608489522,0.360420359966602
"156","4/16/2024 14:27","4/16/2024 14:31","IP Address",229,"4/16/2024 14:31","qr",2,"OrderDCFE","Question A |Question B ","AB","DCFE","ABDCFE","A","B","D","C","F","E",1,2,4,3,6,5,1,-1,1,1,1,-1,5.43372200355424,0.368071829713
"157","4/16/2024 14:24","4/16/2024 14:32","IP Address",501,"4/16/2024 14:32","qr",0,"OrderFDEC","Question B |Question A ","BA","FDEC","BAFDEC","B","A","F","D","E","C",2,1,6,4,5,3,-1,-1,-1,-1,-1,-1,6.21660610108486,0
"158","4/16/2024 14:28","4/16/2024 14:33","IP Address",292,"4/16/2024 14:33","qr",0,"OrderCDFE","Question B |Question A ","BA","CDFE","BACDFE","B","A","C","D","F","E",2,1,3,4,6,5,-1,1,1,1,1,-1,5.67675380226828,0
"159","4/16/2024 14:25","4/16/2024 14:33","IP Address",502,"4/16/2024 14:33","qr",3,"OrderCFDE","Question A |Question B ","AB","CFDE","ABCFDE","A","B","C","F","D","E",1,2,3,6,4,5,1,1,1,1,-1,-1,6.21860011969173,0.48242368736659
"160","4/16/2024 14:24","4/16/2024 14:35","IP Address",669,"4/16/2024 14:35","anonymous",2,"OrderDFEC","Question A |Question B ","AB","DFEC","ABDFEC","A","B","D","F","E","C",1,2,4,6,5,3,1,-1,-1,-1,1,-1,6.50578406012823,0.307418749456707
"161","4/16/2024 14:31","4/16/2024 14:35","IP Address",251,"4/16/2024 14:35","qr",3,"OrderCDFE","Question A |Question B ","AB","CDFE","ABCDFE","A","B","C","D","F","E",1,2,3,4,6,5,1,1,1,1,1,-1,5.52545293913178,0.54294191499736
"162","4/16/2024 14:31","4/16/2024 14:35","IP Address",262,"4/16/2024 14:35","qr",2,"OrderDECF","Question B |Question A ","BA","DECF","BADECF","B","A","D","E","C","F",2,1,4,5,3,6,-1,-1,-1,1,1,1,5.5683445037611,0.359173179505886
"163","4/16/2024 14:29","4/16/2024 14:35","IP Address",362,"4/16/2024 14:35","qr",2,"OrderFCDE","Question B |Question A ","BA","FCDE","BAFCDE","B","A","F","C","D","E",2,1,6,3,4,5,-1,1,1,-1,-1,-1,5.89164421182577,0.339463811474831
"164","4/16/2024 14:28","4/16/2024 14:36","IP Address",469,"4/16/2024 14:36","qr",4,"OrderDFEC","Question A |Question B ","AB","DFEC","ABDFEC","A","B","D","F","E","C",1,2,4,6,5,3,1,-1,-1,-1,1,-1,6.15060276844628,0.650342763236269
"165","4/16/2024 15:51","4/16/2024 15:59","IP Address",429,"4/16/2024 15:59","qr",2,"OrderFDCE","Question B |Question A ","BA","FDCE","BAFDCE","B","A","F","D","C","E",2,1,6,4,3,5,-1,-1,1,-1,-1,-1,6.06145691892802,0.329953677267693
"166","4/16/2024 14:24","4/16/2024 16:09","IP Address",6314,"4/16/2024 16:09","qr",3,"OrderDCEF","Question A |Question B ","AB","DCEF","ABDCEF","A","B","D","C","E","F",1,2,4,3,5,6,1,-1,1,1,1,1,8.75052466911794,0.342836585626403
"167","4/16/2024 14:35","4/16/2024 14:48","IP Address",780,"4/9/2024 13:38","qr",3,"OrderDEFC","Question A |Question B ","AB","DEFC","ABDEFC","A","B","D","E","F","C",1,2,4,5,6,3,1,-1,-1,-1,1,1,6.65929391968364,0.450498211399343
